App;Category;Rating;Reviews;Size;Installs;Type;Price;Content Rating;Genres;Last Updated;Current Ver;Android Ver
MyRadar NOAA Weather Radar;WEATHER;45;178934;Varies with device;10,000,000+;Free;0;Everyone;Weather;04.08.2018;Varies with device;Varies with device
MyRadar NOAA Weather Radar Ad Free;WEATHER;45;3005;26M;10,000+;Paid;7,08;Everyone;Weather;04.08.2018;7.1.4;4.0.3 and up
New 2018 Weather App & Widget;WEATHER;45;2332;20M;500,000+;Free;0;Teen;Weather;03.08.2018;12.2.7.3671;4.1 and up
RadarNow!;WEATHER;45;54090;4M;5,000,000+;Free;0;Everyone;Weather;28.02.2018;6.6;4.0 and up
Rainfall radar - weather;WEATHER;37;26941;Varies with device;5,000,000+;Free;0;Everyone;Weather;13.07.2018;Varies with device;Varies with device
Real time Weather Forecast;WEATHER;44;4184;10M;1,000,000+;Free;0;Everyone;Weather;26.03.2018;7.1.12.12;5.0 and up
Skywatch BL;WEATHER;1;15;10M;1,000+;Free;0;Everyone;Weather;20.02.2017;1.1.6;4.4 and up
SMHI Weather;WEATHER;35;11297;Varies with device;1,000,000+;Free;0;Everyone;Weather;26.06.2018;Varies with device;Varies with device
St. Petersburg, FL - weather and more;WEATHER;1;0;3.9M;0,010+;Free;0;Everyone;Weather;13.04.2018;1.0;5.0 and up
Storm Radar: Tornado Tracker & Hurricane Alerts;WEATHER;46;89868;Varies with device;1,000,000+;Free;0;Everyone;Weather;12.06.2018;Varies with device;Varies with device
Storm Shield;WEATHER;35;2000;14M;100,000+;Free;0;Everyone;Weather;31.07.2018;4.1.12;5.0 and up
Sun & Moon AR Locator;WEATHER;33;115;5.1M;10,000+;Free;0;Everyone;Weather;23.02.2017;1.4;4.1 and up
The Weather Channel: Rain Forecast & Storm Alerts;WEATHER;44;1558437;Varies with device;50,000,000+;Free;0;Everyone;Weather;01.08.2018;Varies with device;Varies with device
The Weather Network;WEATHER;39;135337;Varies with device;5,000,000+;Free;0;Everyone;Weather;06.08.2018;Varies with device;Varies with device
W - Weather Forecast & Animated Radar Maps;WEATHER;42;29;3.5M;5,000+;Free;0;Everyone;Weather;23.04.2018;1.1;4.1 and up
W Pro - Weather Forecast & Animated Weather Maps;WEATHER;38;11;2.9M;0,500+;Paid;0,14;Everyone;Weather;23.04.2018;1.0;4.1 and up
Weather;WEATHER;42;18773;12M;10,000,000+;Free;0;Everyone;Weather;24.05.2018;1.3.A.2.9;4.4 and up
weather - weather forecast;WEATHER;47;11118;9.7M;1,000,000+;Free;0;Everyone;Weather;26.04.2018;30;4.0 and up
Weather & Clock Widget for Android;WEATHER;44;2371543;11M;50,000,000+;Free;0;Everyone;Weather;04.06.2018;5.9.4.0;4.0.3 and up
Weather & Radar Pro - Ad-Free;WEATHER;45;25243;26M;100,000+;Paid;0,27;Everyone;Weather;01.08.2018;4.34.0;4.4 and up
Weather 14 Days;WEATHER;44;279917;Varies with device;10,000,000+;Free;0;Everyone;Weather;18.07.2018;Varies with device;Varies with device
Weather by eltiempo.es;WEATHER;42;67772;Varies with device;5,000,000+;Free;0;Everyone;Weather;02.08.2018;Varies with device;Varies with device
Weather by eltiempo.es;WEATHER;42;67854;Varies with device;5,000,000+;Free;0;Everyone;Weather;02.08.2018;Varies with device;Varies with device
Weather by WeatherBug: Forecast, Radar & Alerts;WEATHER;45;981995;Varies with device;10,000,000+;Free;0;Everyone;Weather;07.06.2018;Varies with device;Varies with device
Weather BZ;WEATHER;44;8433;5.6M;100,000+;Free;0;Everyone;Weather;06.06.2018;5.0.1 build 1;4.0 and up
Weather Crave;WEATHER;42;133338;44M;5,000,000+;Free;0;Everyone;Weather;26.06.2018;6.1.3;4.1 and up
Weather Data CH;WEATHER;1;15;Varies with device;0,500+;Paid;9;Everyone;Weather;09.08.2016;Varies with device;Varies with device
Weather forecast;WEATHER;48;159455;10M;1,000,000+;Free;0;Everyone;Weather;08.05.2018;1.11.93;4.4 and up
Weather Forecast Pro;WEATHER;47;14051;8.7M;100,000+;Paid;5,93;Everyone;Weather;04.08.2018;8.5;4.0 and up
Weather From DMI/YR;WEATHER;43;2143;Varies with device;100,000+;Free;0;Everyone;Weather;31.07.2018;Varies with device;Varies with device
Weather Live;WEATHER;45;76593;Varies with device;500,000+;Paid;5,65;Everyone;Weather;21.11.2017;Varies with device;Varies with device
Weather Live Pro;WEATHER;48;17493;11M;100,000+;Paid;5,71;Everyone;Weather;20.04.2018;1.3;4.4 and up
Weather Radar Widget;WEATHER;43;18194;3.2M;1,000,000+;Free;0;Everyone;Weather;28.06.2017;1.7.7;3.0 and up
Weather �Simple weather forecast;WEATHER;44;40606;15M;10,000,000+;Free;0;Everyone;Weather;05.08.2018;v7.0.02.3.0516.1_06_0713;5.0 and up
WeatherClear - Ad-free Weather, Minute forecast;WEATHER;45;3252;3.8M;50,000+;Free;0;Everyone;Weather;25.06.2017;1.2.6;4.1 and up
WebCams;WEATHER;46;3963;23M;100,000+;Free;0;Everyone;Weather;17.07.2018;5.2.11;4.2 and up
Wetter by t-online.de;WEATHER;42;24349;9.2M;1,000,000+;Free;0;Everyone;Weather;14.05.2018;1.8.4.5;4.1 and up
wetter.com - Weather and Radar;WEATHER;42;189313;38M;10,000,000+;Free;0;Everyone;Weather;06.08.2018;Varies with device;Varies with device
wetter.com - Weather and Radar;WEATHER;42;189310;38M;10,000,000+;Free;0;Everyone;Weather;06.08.2018;Varies with device;Varies with device
Wind & Weather Meter for Ag;WEATHER;1;3;14M;1,000+;Free;0;Everyone;Weather;14.03.2016;v1.0;4.3 and up
Windguru Lite;WEATHER;40;9307;5M;1,000,000+;Free;0;Everyone;Weather;09.01.2018;2.0.8;4.4 and up
World Webcams;WEATHER;37;7896;Varies with device;1,000,000+;Free;0;Everyone;Weather;25.11.2013;1.6;Varies with device
WSVN � South Florida's Source for Weather;WEATHER;1;7;28M;1,000+;Free;0;Everyone;Weather;21.06.2018;4.6.1404;4.4 and up
Yahoo Weather;WEATHER;44;1312037;Varies with device;10,000,000+;Free;0;Everyone;Weather;01.08.2018;Varies with device;Varies with device
Yahoo! Weather for SH Forecast for understanding the approach of rain clouds Free;WEATHER;42;7457;Varies with device;1,000,000+;Free;0;Everyone;Weather;02.08.2018;Varies with device;Varies with device
Yandex.Weather;WEATHER;45;309617;Varies with device;10,000,000+;Free;0;Everyone;Weather;23.07.2018;Varies with device;Varies with device
